cell_id,mechanism,weight_precision,kv_cache_dtype,attn_backend,enforce_eager,workload,concurrency,repeat,itl_slo_ms,ttft_slo_ms,goodput_rps,met_fraction,throughput_rps,output_tokens_per_s
c6519fb025e64635,dflash,bf16,auto,FLASHINFER,False,gsm8k,16,0,50,200,0.0,0.0,2.2208,578.86
c6519fb025e64635,dflash,bf16,auto,FLASHINFER,False,gsm8k,16,0,50,500,0.0,0.0,2.2208,578.86
c6519fb025e64635,dflash,bf16,auto,FLASHINFER,False,gsm8k,16,0,50,1000,0.0,0.0,2.2208,578.86
c6519fb025e64635,dflash,bf16,auto,FLASHINFER,False,gsm8k,16,0,75,200,0.0,0.0,2.2208,578.86
c6519fb025e64635,dflash,bf16,auto,FLASHINFER,False,gsm8k,16,0,75,500,0.0,0.0,2.2208,578.86
c6519fb025e64635,dflash,bf16,auto,FLASHINFER,False,gsm8k,16,0,75,1000,0.0,0.0,2.2208,578.86
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,1,0,20,200,0.0,0.0,0.3629,89.13
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,1,0,20,500,0.0,0.0,0.3629,89.13
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,1,0,20,1000,0.0,0.0,0.3629,89.13
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,1,0,35,200,0.0,0.0,0.3629,89.13
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,1,0,35,500,0.0,0.0,0.3629,89.13
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,1,0,35,1000,0.0,0.0,0.3629,89.13
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,1,0,50,200,0.0,0.0,0.3629,89.13
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,1,0,50,500,0.0,0.0,0.3629,89.13
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,1,0,50,1000,0.0,0.0,0.3629,89.13
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,1,0,75,200,0.0,0.0,0.3629,89.13
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,1,0,75,500,0.0,0.0,0.3629,89.13
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,1,0,75,1000,0.0,0.0,0.3629,89.13
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,1,1,20,200,0.0,0.0,0.4068,105.38
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,1,1,20,500,0.0,0.0,0.4068,105.38
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,1,1,20,1000,0.0,0.0,0.4068,105.38
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,1,1,35,200,0.0,0.0,0.4068,105.38
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,1,1,35,500,0.0,0.0,0.4068,105.38
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,1,1,35,1000,0.0,0.0,0.4068,105.38
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,1,1,50,200,0.0,0.0,0.4068,105.38
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,1,1,50,500,0.0,0.0,0.4068,105.38
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,1,1,50,1000,0.0,0.0,0.4068,105.38
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,1,1,75,200,0.0,0.0,0.4068,105.38
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,1,1,75,500,0.0,0.0,0.4068,105.38
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,1,1,75,1000,0.0,0.0,0.4068,105.38
551ab2aa2e3b1cc5,dflash,fp8,fp8_e4m3,FLASHINFER,False,gsm8k,1,2,20,200,0.0,0.0,0.3779,97.75
